Country:,Count:,Latitude:,Longitude:
Trinidad,3,10.691803,-61.222503
Tunisia,2,33.886917,9.537499
Turkey,31,38.963745,35.243322
Turkmenistan,4,38.969719,59.556278
U.S. Samoa,1,-14.270972,-170.132217
U.S. Virgin Islands,2,18.335765,-64.896335
Uganda,4,1.373333,32.290275
Ukraine,29,48.379433,31.16558
United Arab Emirates,11,23.424076,53.847818
United Kingdom,12,55.378051,-3.435973
United States,1025,37.09024,-95.712891
Uruguay,6,-32.522779,-55.765835
Uzbekistan,10,41.377491,64.585262
Vanuatu,3,-15.376706,166.959158
Venezuela,55,6.42375,-66.58973
Vietnam,68,14.058324,108.277199
Virgin Islands,6,18.420695,-64.639968
Wake Island,2,19.308552,166.631012
Wales,1,51.48158100000001,-3.1790899999999738
West Indies,3,21.469114,-78.656894
Western Africa,2,13.531665,-2.460415
Western Samoa,1,-13.759029,-172.104629
Yemen,8,15.552727,48.516388
Yugoslavia,13,32.636499,31.3724
Yukon Territory,1,64,-135
Zaire,12,-4.038333,21.758664
Zambia,4,-13.133897,27.849332
Zimbabwe,5,-19.015438,29.154857
